scan_id,prn,system_char,channel,secondary_code_length,call_index,corr_value
0,5,69,4,25,0,11
0,5,69,4,25,1,-3
0,5,69,4,25,2,-3
0,5,69,4,25,3,3
0,5,69,4,25,4,1
0,5,69,4,25,5,1
0,5,69,4,25,6,1
0,5,69,4,25,7,-1
0,5,69,4,25,8,-5
0,5,69,4,25,9,7
0,5,69,4,25,10,1
0,5,69,4,25,11,-7
0,5,69,4,25,12,9
0,5,69,4,25,13,5
0,5,69,4,25,14,-3
0,5,69,4,25,15,-3
0,5,69,4,25,16,-3
0,5,69,4,25,17,-5
0,5,69,4,25,18,1
0,5,69,4,25,19,-1
0,5,69,4,25,20,5
0,5,69,4,25,21,-5
0,5,69,4,25,22,7
0,5,69,4,25,23,1
0,5,69,4,25,24,7
0,5,69,4,25,25,11
0,5,69,4,25,26,-3
0,5,69,4,25,27,-3
0,5,69,4,25,28,3
0,5,69,4,25,29,1
0,5,69,4,25,30,1
0,5,69,4,25,31,1
0,5,69,4,25,32,-1
0,5,69,4,25,33,-5
0,5,69,4,25,34,7
0,5,69,4,25,35,1
0,5,69,4,25,36,-7
0,5,69,4,25,37,9
0,5,69,4,25,38,5
0,5,69,4,25,39,-3
0,5,69,4,25,40,-3
0,5,69,4,25,41,-3
0,5,69,4,25,42,-5
0,5,69,4,25,43,1
0,5,69,4,25,44,-1
0,5,69,4,25,45,5
0,5,69,4,25,46,-5
0,5,69,4,25,47,7
0,5,69,4,25,48,1
0,5,69,4,25,49,7
0,5,69,4,25,50,11
0,5,69,4,25,51,-3
0,5,69,4,25,52,-3
0,5,69,4,25,53,3
0,5,69,4,25,54,1
0,5,69,4,25,55,1
0,5,69,4,25,56,1
0,5,69,4,25,57,-1
0,5,69,4,25,58,-5
0,5,69,4,25,59,7
0,5,69,4,25,60,1
0,5,69,4,25,61,-7
0,5,69,4,25,62,9
0,5,69,4,25,63,5
0,5,69,4,25,64,-3
0,5,69,4,25,65,-3
0,5,69,4,25,66,-3
0,5,69,4,25,67,-5
0,5,69,4,25,68,1
0,5,69,4,25,69,-1
0,5,69,4,25,70,5
0,5,69,4,25,71,-5
0,5,69,4,25,72,7
0,5,69,4,25,73,1
0,5,69,4,25,74,7
0,5,69,4,25,75,11
0,5,69,4,25,76,-3
0,5,69,4,25,77,-3
0,5,69,4,25,78,3
0,5,69,4,25,79,1
0,5,69,4,25,80,1
